text,kto,co,trigger
Spółka Orlen przejęła lokalną firmę transportową.,Spółka Orlen,lokalną firmę transportową,przejąć
Bank PKO podpisał umowę z zagranicznym inwestorem.,Bank PKO,umowę,podpisać
Firma budowlana otworzyła nowy zakład produkcyjny.,Firma budowlana,zakład produkctyjny,otworzyć
Koncern energetyczny połączył się z mniejszym operatorem.,Koncern energetyczny,mniejszym operatorem,połączyć
Producent mebli zamknął nierentowną fabrykę.,Producent mebli,fabrykę,zamknąć
Sieć handlowa otworzyła nowy sklep w Krakowie.,Sieć handlowa,sklep,otworzyć
Spółka technologiczna przejęła startup z Warszawy.,Spółka technologiczna,startup,przejąć
Zarząd firmy zdecydował o redukcji zatrudnienia.,Zarząd firmy,redukcji zatrudnienia,zdecydować
Przedsiębiorstwo logistyczne podpisało kontrakt z wojskiem.,Przedsiębiorstwo logistyczne,kontrakt,podpisać
Firma IT wdrożyła nowy system sprzedaży.,Firma IT,system sprzedaży,wdrożyć
Holding finansowy sprzedał udziały w spółce zależnej.,Holding finansowy,udziały,sprzedać
Operator telekomunikacyjny uruchomił nową usługę.,Operator telekomunikacyjny,usługę,uruchomić
Producent żywności wycofał produkt z rynku.,Producent żywności,produkt,wycofać
Spółka giełdowa ogłosiła nową strategię rozwoju.,Spółka giełdowa,strategię rozwoju,ogłosić
Firma farmaceutyczna rozpoczęła produkcję szczepionek.,Firma farmaceutyczna,produkcję,rozpocząć
Koncern motoryzacyjny zamknął fabrykę w Europie.,Koncern motoryzacyjny,fabrykę,zamknąć
Bank podniósł opłaty dla klientów.,Bank,opłaty,podnieść
Firma kurierska przejęła konkurencyjne przedsiębiorstwo.,Firma kurierska,przedsiębiorstwo,przejąć
Spółka deweloperska rozpoczęła budowę osiedla.,Spółka deweloperska,budowę osiedla,rozpocząć
Producent elektroniki wprowadził nową linię produktów.,Producent elektroniki,linię produkcyjną,wprowadzić
Firma odzieżowa otworzyła sklep internetowy.,Firma odzieżowa,sklep internetowy,otworzyć
Holding inwestycyjny sprzedał nieruchomości.,Holding inwestycyjny,nieruchomości,sprzedać
Spółka paliwowa podpisała umowę z rządem.,Spółka paliwowa,umowę,podpisać
Firma transportowa zawiesiła działalność.,Firma transportowa,działalność,zawiesić
Koncern spożywczy połączył dwie spółki zależne.,Koncern spożywczy,spółki zależne,połączyć
Samochód osobowy zderzył się z ciężarówką na autostradzie.,Samochód osobowy,ciężarówką,zderzyć
Kierowca stracił panowanie nad pojazdem i uderzył w drzewo.,Kierowca,w drzewo,uderzyć
Autobus wypadł z drogi na zakręcie.,Autobus,z drogi,wypaść
Pociąg potrącił mężczyznę na przejeździe kolejowym.,Pociąg,na przejeździe kolejowym,potrącić
Motocyklista zginął w wypadku drogowym.,Motocyklista,wypadku drogowym,zginąć
Samolot awaryjnie lądował na lotnisku w Warszawie.,Samolot,na lotnisku,lądować
Rowerzysta został potrącony na przejściu dla pieszych.,Rowerzysta,przejściu dla pieszych,potrącić
Samochód osobowy dachował na drodze krajowej.,Samochód osobowy,drodze krajowej,dachować
Ciężarówka przewróciła się na rondzie.,Ciężarówka,na rondzie,przewrócić
Autobus miejski zderzył się z tramwajem.,Autobus,z tramwajem,zderzyć
Kierowca ciężarówki zasłabł za kierownicą.,Kierowca ciężarówki,za kierownicą,zasłabnąć
Pieszy został ranny w wypadku drogowym.,Pieszy,wypadku drogowym,zostać
Samochód dostawczy uderzył w barierki ochronne.,Samochód dostawczy,barierki ochronnne,uderzyć
Motocyklista zderzył się z samochodem osobowym.,Motocyklista,samochodem osobowym,zderzyć
Auto osobowe wpadło do rowu.,Auto osobowe,do rowu,wpaść
Pociąg towarowy wykoleił się na stacji.,Pociąg towarowy,na stacji,wykoleić
Kierowca potrącił kobietę na pasach.,Kierowca,na pasach,potrącić
Autobus szkolny uczestniczył w kolizji drogowej.,Autobus szkolny,kolizji drogowej,uczestniczyć
Samochód osobowy uderzył w latarnię.,Samochód osobowy,latarnię,uderzyć
Motorowerzysta został ranny w wypadku.,Motorowerzysta,wypadku,zostać
Samochód ciężarowy zablokował drogę po kolizji.,Samochód ciężarowy,kolizji,zablokować
Auto osobowe zderzyło się z dzikiem.,Auto osobowe,z dzikiem,zderzyć
Kierowca stracił przytomność podczas jazdy.,Kierowca,jazdy,stracić
Samochód osobowy wypadł z mostu.,Samochód osobowy,z mostu,wypaść
Autobus turystyczny brał udział w kolizji.,Autobus turystyczny,kolizji,brać
Premier powołał nowego ministra finansów.,Premier,ministra finansów,powołać
Prezydent podpisał nową ustawę.,Prezydent,ustawę,podpisać
Rząd przyjął projekt reformy podatkowej.,Rząd,projekt,przyjąć
Minister zdrowia odwołał dyrektora szpitala.,Minister zdrowia,dyrektora szpitala,odwołać
Sejm uchwalił nowelizację ustawy budżetowej.,Sejm,nowelizację,uchwalić
Parlament zatwierdził zmiany w konstytucji.,Parlament,w konstytucji,zatwierdzić
Premier zdymisjonował wiceministra.,Premier,wiceministra,zdymisjonować
Prezydent mianował nowych ambasadorów.,Prezydent,nowych ambasadorów,mianować
Rada Ministrów przyjęła nowy program społeczny.,Rada Ministrów,nowy program społeczny,przyjąć
Sejm odrzucił projekt ustawy opozycji.,Sejm,projekt ustawy,odrzucić
Minister edukacji powołał nowego kuratora.,Minister edukacji,nowego kuratora,powołać
Rząd podpisał umowę międzynarodową.,Rząd,umowę międzynarodową,podpisać
Parlament wybrał nowego rzecznika praw obywatelskich.,Parlament,nowego rzecznika,wybrać
Prezydent zawetował ustawę.,Prezydent,ustawę,zawetować
Minister sprawiedliwości odwołał prezesa sądu.,Minister sprawiedliwości,prezesa sądu,odwołać
Sejm przyjął uchwałę w sprawie bezpieczeństwa.,Sejm,uchwałę,przyjąć
Rząd ogłosił nowy pakiet legislacyjny.,Rrząd,pakiet legislacyjny,ogłosić
Premier powołał pełnomocnika do spraw energii.,Premier,pełnomocnika,powołać
Parlament zatwierdził budżet państwa.,Parlament,budżet,zatwierdzić
Minister infrastruktury podpisał rozporządzenie.,Minister infrastruktury,rozporządzenie,podpisać
Rada Ministrów przyjęła projekt ustawy.,Rada Ministrów,projekt ustawy,przyjąć
Sejm wybrał nowych członków komisji.,Sejm,członków komisji,wybrać
Prezydent ratyfikował umowę międzynarodową.,Prezydent,umowę międzynarodową,ratyfikować
Minister obrony powołał nowego dowódcę.,Minister obrony,dowódcę,powołać
Rząd odwołał wojewodę.,Rząd,wojewodę,odwołać
Premier powołał nowego ministra spraw zagranicznych.,Premier,ministra spraw zagranicznych,powołać
Prezydent podpisał ustawę o finansowaniu samorządów.,Prezydent,ustawę,podpisać
Minister zdrowia odwołał dyrektora departamentu.,Minister zdrowia,dyrektora departamentu,odwołać
Sejm przyjął nowelizację ustawy o podatkach.,Sejm,nowelizację ustawy,przyjąć
Rząd zatwierdził projekt reformy edukacji.,Rząd,projekt reformy edukacji,zatwierdzić
Parlament wybrał nowego marszałka izby.,Parlament,marszałka izby,wybrać
Prezydent mianował ambasadora w Stanach Zjednoczonych.,Prezydent,ambasadora,mianować
Rada Ministrów przyjęła program wsparcia dla rodzin.,Rada Ministrów,program wsparcia,przyjąć
Minister klimatu powołał nowego pełnomocnika.,Minister klimatu,pełnomocnika,powołać
